10740: ACCT,"Accounting for the S.E.C"
14035: NURS,"Trends&Iss-Nur & Hea"
14036: NURS,"Ways of Knowing in Nursing"
14037: PERM,"Cuny Permit- 4.5 Credits"
14038: PERM,"Graduate Holding Section"
14039: PERM,"Non Cuny Perm 3 Crs."
14040: PERM,"Non Cuny Permit 3crs"
14041: PERM,"Non-CUNY Permit 3 Credits"
14042: PERM,"Non-CUNY Permit 4 Credits"
14043: PERM,"Non-Cuny Permit 6 Cr"
14044: PERM,"Non-Cuny Permit 7 Credits"
14045: PERM,"Non-Cuny Permit 8 Cr"
14046: PERM,"Non-Cuny Permit 8.5 Cr"
14047: PERM,"Non-Cuny Permit F/T"
14048: PERM,"Non-Cuny Stabd 4 Cr."
14049: PERM,"On Permit 1 Credit"
14050: PERM,"On Permit 1.5 Credit"
14051: PERM,"On Permit 2 Credits"
14052: PERM,"On Permit 2.5 Credit"
14053: PERM,"On Permit 3 Credits"
14054: PERM,"On Permit 3.5 Credits"
14055: PERM,"On Permit 4 Credits"
14056: PERM,"On Permit 4.5 Credit"
14057: PERM,"On Permit 4.5 Credits"
14058: PERM,"On Permit 6 Credits"
14059: PERM,"On Permit For 0 Crs."
14060: PERM,"On Permit For 0.5 Cr"
14061: PERM,"On Permit For 1 Credit"
14062: PERM,"On Permit For 1.5 Cr"
14063: PERM,"On Permit For 10 Credits"
14064: PERM,"On Permit For 10.5 Credits"
14065: PERM,"On Permit For 11 Credits"
14066: PERM,"On Permit For 11.5 Credits"
14067: PERM,"On Permit For 12 Credits"
14068: PERM,"On Permit For 15 Credits"
14069: PERM,"On Permit For 2 Credits"
14070: PERM,"On Permit For 2.5 Cr"
14071: PERM,"On Permit For 2.5 Credits"
14072: PERM,"On Permit For 21 Credits"
14073: PERM,"On Permit For 3 Credits"
14074: PERM,"On Permit For 3.5 Cr"
14075: PERM,"On Permit For 3.5 Credits"
14076: PERM,"On Permit For 4 Credits"
14077: PERM,"On Permit For 4.5 Cr"
14078: PERM,"On Permit For 4.5 Credit"
14079: PERM,"On Permit For 5 Credits"
14080: PERM,"On Permit For 5.5 Cr"
14081: PERM,"On Permit For 5.5 Credits"
14082: PERM,"On Permit For 6 Credits"
14083: PERM,"On Permit For 6.5 Cr"
14084: PERM,"On Permit For 7 Cr"
14085: PERM,"On Permit For 7 Credits"
14086: PERM,"On Permit For 7.5 Credits"
14087: PERM,"On Permit For 8 Credits"
14088: PERM,"On Permit For 8.5 Credits"
14089: PERM,"On Permit For 9 Credits"
14090: PERM,"On Permit For 9 Credits."
14091: PERM,"On Permit For 9.5 Credits"
14092: PERM,"On Permit for 4 Credits"
14093: PERM,"On Permit for 6 Credits"
14094: PERM,"On Permit for 7.5 Credits"
14095: PERM,"Transfer Reduction"
14096: PERM,"Undergrad Holdng Sec"
14097: PERM,"VI Grad Credits. By Department"
14098: PHIL,"19c Continent Philos"
14099: PHIL,"Aesthetics"
14100: PHIL,"African Philosophical Thought"
14101: PHIL,"American Philosophy"
14102: PHIL,"Analytic Philosophy"
14103: PHIL,"Asian Philosophies"
14104: PHIL,"Business Ethics"
14105: PHIL,"Capitalism and Its Critics"
14106: PHIL,"Classical Ethical Theories"
14107: PHIL,"Contem Analytic Philosophy"
14108: PHIL,"Contemp Moral Issues"
14109: PHIL,"Contemporary Moral Issues"
14110: PHIL,"Contemporary Social Ethics"
14111: PHIL,"Critical Reasoning"
14112: PHIL,"Critical Thinking in Practice"
14113: PHIL,"Disability14114: PHIL,"Educating Kings and Citizens"
14115: PHIL,"Environmental Ethics"
14116: PHIL,"Ethical Theory"
14117: PHIL,"Ethicl Issues/Comput"
14118: PHIL,"Ethics and Science"
14119: PHIL,"Existentialism"
14120: PHIL,"Fundamentals of Human Rights"
14121: PHIL,"GRE Theory and Practice"
14122: PHIL,"Global Justice"
14123: PHIL,"Hist of PHI III:19 Century"
14124: PHIL,"Hist of Philosophy II: Modern"
14125: PHIL,"Hist of Philosphy IV:20th Cen"
14126: PHIL,"History of Philosophy I"
14127: PHIL,"Honors Tutorial"
14128: PHIL,"Intermediate Logic"
14129: PHIL,"Intro To Logic"
14130: PHIL,"Intro to African Philosophy"
14131: PHIL,"Introduction Jewish Philosophy"
14132: PHIL,"Introduction to Logic"
14133: PHIL,"Issues:Phi Of Relign"
14134: PHIL,"Justice And Society"
14135: PHIL,"Justice and Society"
14136: PHIL,"Legal Reasoning"
14137: PHIL,"Logic and Language"
14138: PHIL,"Logical Theory"
14139: PHIL,"Medical Ethics"
14140: PHIL,"Metaphysics"
14141: PHIL,"Neuroethics"
14142: PHIL,"Phi Of Contemp Music"
14143: PHIL,"Phil Prob in Legal Theory"
14144: PHIL,"Phil Thght Pre-Socra"
14145: PHIL,"Phil of Contemporary Music"
14146: PHIL,"Phil of Protest & Liberation"
14147: PHIL,"Philos-Soc Sciences"
14148: PHIL,"Philosophical Ideas in Lit"
14149: PHIL,"Philosophies of the Self"
14150: PHIL,"Philosophy and Film"
14151: PHIL,"Philosophy and Gender"
14152: PHIL,"Philosophy of Freedom"
14153: PHIL,"Philosophy of History"
14154: PHIL,"Philosophy of Language"
14155: PHIL,"Philosophy of Law"
14156: PHIL,"Philosophy of Mind"
14157: PHIL,"Philosophy of Religion"
14158: PHIL,"Philosophy of Science"
14159: PHIL,"Philosophy of Sport"
14160: PHIL,"Philosophy of Technology"
14161: PHIL,"Political Philosophy"
14162: PHIL,"Probability and Induction"
14163: PHIL,"Problems of Philosophy"
14164: PHIL,"Race and Ethnicity in Society"
14165: PHIL,"Readings in Philosophy"
14166: PHIL,"Sem:Phi &Socl Policy"
14167: PHIL,"Social Philosophy"
14168: PHIL,"Special Topics in Philosophy"
14169: PHIL,"Theories of Human Nature"
14170: PHIL,"Theory of Knowledge"
14171: PHIL,"Topcs In Epistemolgy"
14172: PHIL,"Topcs In Logic &Lang"
14173: PHIL,"Topcs-Histor Philos"
14174: PHIL,"Topcs-Polit&Socl Phi"
14175: PHIL,"Topics In Ethics"
14176: PHIL,"Topics in Metaphysics"
14177: PHIL,"Topics in Philosophy"
14178: PHYS,"Advanced General Physics"
14179: PHYS,"Analog Circuits"
14180: PHYS,"Applied Physics"
14181: PHYS,"Astrophysics"
14182: PHYS,"Conceptual Physics"
14183: PHYS,"Digital Circuits and Systems"
14184: PHYS,"Energy and the Environment"
14185: PHYS,"Fund Concepts&Methods Physics"
14186: PHYS,"General Physics I"
14187: PHYS,"General Physics II"
14188: PHYS,"Honors Course"
14189: PHYS,"Interm Elec & Magnet"
14190: PHYS,"Intermed Physcs Lab3"
14191: PHYS,"Intermediate Mechanics"
14192: PHYS,"Intermediate Phys Laboratory 2"
14193: PHYS,"Internship in Physics"
14194: PHYS,"Introductory Quantum Mechanics"
14195: PHYS,"Light and Color"
14196: PHYS,"Math for the Physical Scinces"
14197: PHYS,"Mathematical Physics"
14198: PHYS,"Medical Physics"
14199: PHYS,"Modern Physics"
14200: PHYS,"Modern Physics Laboratory"
14201: PHYS,"Nuclear Physics"
14202: PHYS,"Optics"
14203: PHYS,"PHY I Scientists & Engineers"
14204: PHYS,"PHY II Scientists & Engineers"
14205: PHYS,"Physics for Teachers"
14206: PHYS,"Quantum Computer Science"
14207: PHYS,"Select Topics Phy for Bio Stud"
14208: PHYS,"Solid State Physics"
14209: PHYS,"Sound14210: PHYS,"Special Topics in Physics"
14211: PHYS,"The Physics of Sound"
14212: PHYS,"Theoretical Mechanics"
14213: PHYS,"Thermodynamics/Stat Mechanics"
14214: PORT,"Adv.Foreignlang.Stud"
14215: PORT,"Brazilian Lit-20 Cen"
14216: PORT,"Comparative Grammar"
14217: PORT,"Elementary Portuguese I"
14218: PORT,"Elementary Portuguese II"
14219: PORT,"Elementary Portuguese III"
14220: PORT,"Indiv Intermed For Lang Stdy"
14221: PORT,"Inter Portu Reading & Composit"
14222: PORT,"Portug Lit 18-20cent"
14223: POSC,"Adv Methods of Social Research"
14224: POSC,"Advanced Topics Pol Sci"
14225: POSC,"African Amer in the Pol System"
14226: POSC,"Amer Political Systm"
14227: POSC,"American Foreign Policy"
14228: POSC,"American Political System"
14229: POSC,"American Political Thought"
14230: POSC,"Capitalism and Its Critics"
14231: POSC,"Classic & Medieval Poli Philo"
14232: POSC,"Classical Political Economy"
14233: POSC,"Cmpartv&Glbal Persp-Gndr&Pltcs"
14234: POSC,"Comparative EduPolicy&Politics"
14235: POSC,"Comparative Labor Movements"
14236: POSC,"Consti-Gov Struc/Pwr"
14237: POSC,"Constit Law: Rights/Liberties"
14238: POSC,"Constitutional Law"
14239: POSC,"Contemp Compar Govrn"
14240: POSC,"Contemp Polit Issues"
14241: POSC,"Contemporary Political Issues"
14242: POSC,"Contemporary Political Thought"
14243: POSC,"Criminal Justice"
14244: POSC,"Democracy and Its Critics"
14245: POSC,"Freedom of Speech"
14246: POSC,"Fundamentals of Human Rights"
14247: POSC,"Gender and Politics"
14248: POSC,"Global Environmental Politics"
14249: POSC,"Global Justice"
14250: POSC,"Global Political Economy"
14251: POSC,"Globalization"
14252: POSC,"Gov & Politics In Us"
14253: POSC,"Great Political Thinkers"
14254: POSC,"Honors Tutorial"
14255: POSC,"Human Rights"
14256: POSC,"Immigration and Citizenship"
14257: POSC,"Integration of the Americas"
14258: POSC,"International Law"
14259: POSC,"International Politics"
14260: POSC,"Internship in Human Rights&PS"
14261: POSC,"Intl & Regional Organizations"
14262: POSC,"Intrntnl Conflict&Conflict Res"
14263: POSC,"Intro Thry Social & Commun"
14264: POSC,"Intro to Comparative Politics"
14265: POSC,"Jurisprudence"
14266: POSC,"Latino Politics"
14267: POSC,"Law in Action"
14268: POSC,"Law of Diplomacy14269: POSC,"Law14270: POSC,"Legislative Politics"
14271: POSC,"Major Asian Political Systems"
14272: POSC,"Marxism"
14273: POSC,"Methods of Social Research."
14274: POSC,"Model United Nations"
14275: POSC,"Modern Political Philosophy"
14276: POSC,"Nationalism&Challng"
14277: POSC,"Non-Western Political Thought"
14278: POSC,"Orgnzng Elctn Campgn"
14279: POSC,"Pol Analysis & Interpretation"
14280: POSC,"Pol Sys Cent Amer & Caribb"
14281: POSC,"Pol Syst Latin Amer"
14282: POSC,"Pol Systms-Mid East"
14283: POSC,"Polit Amer Publc Edu"
14284: POSC,"Political Demography"
14285: POSC,"Political Economy of Developme"
14286: POSC,"Political Issues in NYC"
14287: POSC,"Political Parties"
14288: POSC,"Political Power in America"
14289: POSC,"Political Research Laboratory"
14290: POSC,"Political Socialization"
14291: POSC,"Political Systems in Africa"
14292: POSC,"Political Systems in Europe"
14293: POSC,"Politics & Culture"
14294: POSC,"Politics Amer Povrty"
14295: POSC,"Politics And Culture"
14296: POSC,"Politics and Culture"
14297: POSC,"Politics and human survival"
14298: POSC,"Politics of American Pub Edu"
14299: POSC,"Poltcl Mobilizations&Soc Mvmts"
14300: POSC,"Poly Sci Senior Research Sem"
14301: POSC,"Psychology and Politics"
14302: POSC,"Public Administration"
14303: POSC,"Public Opinion and Polling"
14304: POSC,"Public Policy"
14305: POSC,"Race & Class in American Pol"
14306: POSC,"Russia Today"
14307: POSC,"Science14308: POSC,"Sem & Intrn Pgrm NYC Govt"
14309: POSC,"Semin&Intrn Prog-Law"
14310: POSC,"Sociological Analysis"
14311: POSC,"Sociology of Politics"
14312: POSC,"Spcl Prbms in Pol Sci"
14313: POSC,"Spec Problems in Political Sci"
14314: POSC,"Special Topics in Human Rights"
14315: POSC,"State and Local Politics"
14316: POSC,"Stbilty In Const Dem"
14317: POSC,"The American Political System"
14318: POSC,"The American Presidency"
14319: POSC,"The Judiciary"
14320: POSC,"The Politics of Health"
14321: POSC,"The Russian Political System"
14322: POSC,"Topics in Political Science"
14323: POSC,"Urban Policy"
14324: POSC,"Urban Politics and Government"
14325: POSC,"Us In World Affairs"
14326: POSC,"Western Political Thought"
14327: POSC,"Women and Politics"
14328: PRST,"History of Puerto Rico II"
14329: PRST,"Pol Part:Pr 1869-Pre"
14330: PRST,"Pr Lit:Genre Stdies"
14331: PRST,"Puerto Rican Historiography"
14332: PRST,"Urbn Pr Prose-Frww2"
14333: PRSU,"Cms 11 - Bcc"
14334: PRSU,"Eng 02 - Bcc"
14335: PRSU,"Eng XI-Bcc"
14336: PRSU,"His 10 - Bcc"
14337: PRSU,"Mth 03 - Bcc"
14338: PRSU,"Ocd 01 - Bcc"
14339: PRSU,"Ocd 02 - Bcc"
14340: PRSU,"Phl 11- Bcc"
14341: PRSU,"Pol 11-Bcc"
14342: PRSU,"Psy 11 - Bcc"
14343: PRSU,"Rdl 02-Bcc"
14344: PSYC,"Abnormal Psychology"
14345: PSYC,"Adv Abnormal Psychol"
14346: PSYC,"Adv Sem Contemp Issue Psych"
14347: PSYC,"Adv Stats Meth Psych"
14348: PSYC,"Child Psychology"
14349: PSYC,"Childhood Psychopathology"
14350: PSYC,"Clinical Neuropsychology"
14351: PSYC,"Cognitive Psychology"
14352: PSYC,"Community Psychology"
14353: PSYC,"Comp Psych & Ethology"
14354: PSYC,"Contemp Issues Psych"
14355: PSYC,"Critical Thinking - Psychology"
14356: PSYC,"Developmental Psychology I"
14357: PSYC,"Environmental Psychology"
14358: PSYC,"Evolutionary Psychology"
14359: PSYC,"Experimental Psychology I"
14360: PSYC,"Experimental Psychology II"
14361: PSYC,"Family Psychology"
14362: PSYC,"General Psychology"
14363: PSYC,"Health Psychology"
14364: PSYC,"History of Psychology"
14365: PSYC,"Honors Research in Psychology"
14366: PSYC,"Independent Study - Psychology"
14367: PSYC,"Indust-Organ Psych"
14368: PSYC,"Int Primate Behv Std"
14369: PSYC,"Learning Theory"
14370: PSYC,"Motivation and Emotion"
14371: PSYC,"Mthds Psych Intervnt"
14372: PSYC,"Physiological Psychology"
14373: PSYC,"Practm-Psychol Srvcs"
14374: PSYC,"Psy Personal Adjust"
14375: PSYC,"Psy Testing&Assesmnt"
14376: PSYC,"Psy-Adulthood &Aging"
14377: PSYC,"Psych Sense&Perceptn"
14378: PSYC,"Psych-Phys Handicap"
14379: PSYC,"Psychology and the Law"
14380: PSYC,"Psychology of Adolescence"
14381: PSYC,"Psychology of Learning"
14382: PSYC,"Psychology of Memory"
14383: PSYC,"Psychology of Personality"
14384: PSYC,"Psychology of Women"
14385: PSYC,"Research in Social Psychology"
14386: PSYC,"Science &Prac Of Psy"
14387: PSYC,"Science and Practice of Psych"
14388: PSYC,"Sem in Psych Test & Assess"
14389: PSYC,"Sem-Physiologicl Psy"
14390: PSYC,"Semi in Psych Services"
14391: PSYC,"Seminar in Abnormal Psychology"
14392: PSYC,"Seminar in Perception"
14393: PSYC,"Seminar in Social Psychology"
14394: PSYC,"Soc.&Emotion.Develop"
14395: PSYC,"Social Psychology"
14396: PSYC,"Spe Topcs:Geropsych"
14397: PSYC,"Statistical Methods in Psychol"
14398: PSYC,"The Psychology of Adolescence"
14399: PSYC,"The Psychology of Ethnicity"
14400: PSYC,"The Psychology of Literacy Dev"
14401: PSYC,"Theories of Personality"
14402: PSYC,"Theories-Devlp Psych"
14403: PUAF,"Adv. Methods/Epi."
14404: PUAF,"Approaches:Public Health Rsrch"
14405: PUAF,"Capstone Project"
14406: PUAF,"Chronic Disease Epidemiology"
14407: PUAF,"Comm Participation & Advocacy"
14408: PUAF,"Community-based Participatory"
14409: PUAF,"Crit Reading/Writing Pub Hlth"
14410: PUAF,"Demography& Population Geo"
14411: PUAF,"Emergency Preparedness"
14412: PUAF,"Environmental Health GIScLab"
14413: PUAF,"Ethics in Public Health"
14414: PUAF,"Fundament Soc & Bhvrl Health"
14415: PUAF,"Fundamental Hlth Policy & Mgmt"
14416: PUAF,"Fundamentals Envrnmntl Health"
14417: PUAF,"Fundamentals of Biostatistics"
14418: PUAF,"Fundamentals of Epidemiology"
14419: PUAF,"Fundamentals of Global Health"
14420: PUAF,"Geostatistics&Spatial Analytic"
14421: PUAF,"Global Burden of Communicable"
14422: PUAF,"Global Nutrition and Disease"
14423: PUAF,"Global/Internat’L H"
14424: PUAF,"Hea Equity& Soc Just"
14425: PUAF,"Health Informatics"
14426: PUAF,"Healthcare Policy and Politics"
14427: PUAF,"Hist and Phil of Public Health"
14428: PUAF,"Independent Study"
14429: PUAF,"Infectious Dis Epidemiology"
14430: PUAF,"Mat & Chld Hlth: Life Crs Pers"
14431: PUAF,"Mater14432: PUAF,"Principles of GISc for Public"
14433: PUAF,"Program Plan & Eval."
14434: PUAF,"Public Health Capstone"
14435: PUAF,"Public Health Capstone Project"
14436: PUAF,"Public Health Field Experience"
14437: PUAF,"Qualitative Methods Pub Health"
14438: PUAF,"Research Methods Public Health"
14439: PUAF,"Soc&Env Determinants of Health"
14440: PUAF,"Spatial Analysis & Environment"
14441: PUAF,"Special Topics in Public Healt"
14442: PUAF,"Sprvsd Fieldwork Pub Health"
14443: PUAF,"The Geography of Urban Health"
14444: PUAF,"The Pract of Quality Mgmnt"
14445: PUAF,"Topics in Public Health"
14446: PUAF,"Workshop in GISc Research for"
14447: RECR,"Admin Proc:Rec&Parks"
14448: RECR,"Admin of Recreation Services"
14449: RECR,"Adv Fncl&HR Mgmt Rec Sprt Svcs"
14450: RECR,"Adv Thera Recrea Processes"
14451: RECR,"Assessment-TherapeuticRecreatn"
14452: RECR,"Camp Lead&Outdr Recr"
14453: RECR,"Clinical Pract & Intrnshp"
14454: RECR,"Commnty Rec & Park Facilities"
14455: RECR,"Fclity Mgmt Recrtnl Sport Svcs"
14456: RECR,"Hist and Phil of Recreation"
14457: RECR,"Honors"
14458: RECR,"Inclusive Recreation"
14459: RECR,"Ind Study Recreation"
14460: RECR,"Intr Therapeutic Recreat Serv"
14461: RECR,"Leisre Counselng Prg"
14462: RECR,"Mastrs Comprehsive"
14463: RECR,"Outdoor Edu & Recreation"
14464: RECR,"Principles&PracticeRecSportSvc"
14465: RECR,"Proc&Tech-Therap Rec"
14466: RECR,"Program Planning in Recreation"
14467: RECR,"Rec Prog Plan&Leadrs"
14468: RECR,"Recr&Leisr-Modrn Soc"
14469: RECR,"Recreation Internship"
14470: RECR,"Recreation Leadership"
14471: RECR,"Research Seminar"
14472: RECR,"Research&Evaluation Rec Serv"
14473: RECR,"Rsrch Mthds&Eval-Rec"
14474: RECR,"Selected Topics in Recreation"
14475: RECR,"Senior Intrnshp Recreation"
14476: RECR,"Special Project"
14477: RECR,"Special Topics in Recreation"
14478: RECR,"Ther Rec Child & Yth"
14479: RECR,"Ther. Rec. Psy.Rehab"
14480: RECR,"Ther.Rec.Dev.Disab."
14481: RECR,"Ther.Rec.Phys.Disab"
14482: RECR,"Thera Recrea Prg Design"
14483: RECR,"Therap Recreat Geriatric Setts"
14484: RECR,"Therap. Rec Internsp"
14485: RECR,"Therapeutic Recreat & Disabili"
14486: RECR,"Therapeutic Recreat to Soc Pro"
14487: RECR,"Therapeutic Recreation Service"
14488: RECR,"Therp Rec-Long Term"
14489: RECR,"Thesis"
14490: REHA,"Intr Devlp Disabilts"
14491: REHA,"Introduction to Youth Studies"
14492: REHA,"Mgmt Youth Serving Orgs"
14493: REHA,"Practicum in Youth Services"
14494: REHA,"Princples of Psych Rehab"
14495: RUSS,"20th Cent Russ Drama"
14496: RUSS,"Adv Rus Grammar&Comp"
14497: RUSS,"Adv.Foreignlang.Stud"
14498: RUSS,"Advanced Russian Conversation"
14499: RUSS,"Advanced Russian I"
14500: RUSS,"Advanced Russian II"
14501: RUSS,"Classical Russian Poetry"
14502: RUSS,"Colloquium in Russian Lit"
14503: RUSS,"Comparative Grammar"
14504: RUSS,"Dostoevsky (In English)"
14505: RUSS,"Elem Intensv Russian"
14506: RUSS,"Elem Rus For Rdng 1"
14507: RUSS,"Elem Russian For Reading II"
14508: RUSS,"Elementary Russian I"
14509: RUSS,"Elementary Russian II"
14510: RUSS,"Elemnts Contemp Russian I"
14511: RUSS,"Honors Course in Russian"
14512: RUSS,"Int.Foreignlang.Stud"
14513: RUSS,"Intermediate Russian I"
14514: RUSS,"Intermediate Russian II"
14515: RUSS,"Intermediate Russian Tutorial"
14516: RUSS,"Lang Of Russian-Byt"
14517: RUSS,"Masterpieces of Russ Lit III"
14518: RUSS,"Masterpieces of Russian Lit I"
14519: RUSS,"Masterpieces of Russian Lit II"
14520: RUSS,"Modern Russian Poetry"
14521: RUSS,"Russ Lit Mid Ages-XVIII Cent"
14522: RUSS,"Russia Today"
14523: RUSS,"Russian Authors (In English)"
14524: RUSS,"Russian Drama to Chekhov"
14525: RUSS,"Srvy Russian Lit 1870’s in Eng"
14526: RUSS,"Survey Russian Drama"
14527: RUSS,"Survey Russian Lit 2"
14528: RUSS,"Survy Soviet Rus Lit"
14529: RUSS,"The Russian Short Story"
14530: RUSS,"Tolstoy (In English)"
14531: RUSS,"Tutorial in Russian"
14532: SLAV,"Independent Study"
14533: SLAV,"Individual Study Slavic Lang"
14534: SLAV,"Slavic Cult & Civilz"
14535: SLAV,"Special Studies in Slavic"
14536: SLAV,"Topics In Slavic Lit"
14537: SLAV,"Tutorial"
14538: SOCI,"Adopt Policy&Children?s Rights"
14539: SOCI,"Adv Methods of Social Research"
14540: SOCI,"Advanced Tutorial in Sociology"
14541: SOCI,"American Demography"
14542: SOCI,"Anti-Semit Early Christ-Hitler"
14543: SOCI,"Collective Behavior"
14544: SOCI,"Communication in Society"
14545: SOCI,"Comp Anlys-Mod Indus"
14546: SOCI,"Criminology"
14547: SOCI,"Death14548: SOCI,"Economic and Workplace Inequal"
14549: SOCI,"Education and Inequality"
14550: SOCI,"Education and Society"
14551: SOCI,"Ethnic Stratification"
14552: SOCI,"Field & Interpretative Method"
14553: SOCI,"Found Modrn Soc Thry"
14554: SOCI,"Fundamentals of Sociology"
14555: SOCI,"Global Interdependencies"
14556: SOCI,"Global&Cross-Cult. Perspective"
14557: SOCI,"Honors Seminar -Special Topics"
14558: SOCI,"Immigration and Adaptation"
14559: SOCI,"Intro Data Analysis AppsSocSci"
14560: SOCI,"Issues and Problems Soc Theory"
14561: SOCI,"Juvenile Justice"
14562: SOCI,"Knowldge Science&Soc"
14563: SOCI,"Mass Comm &Pub Opin"
14564: SOCI,"Methds Of Soc Resrch"
14565: SOCI,"Method Data Collect & Analysis"
14566: SOCI,"Methods of Social Research"
14567: SOCI,"Mind14568: SOCI,"Modern Organizations"
14569: SOCI,"Nat & Funct Soc Grps"
14570: SOCI,"Philosophy of Social Sciences"
14571: SOCI,"Political Socialization"
14572: SOCI,"Political Sociology"
14573: SOCI,"Population and Society"
14574: SOCI,"Qualitive Methods"
14575: SOCI,"Quantitative Analysis Soc Data"
14576: SOCI,"Quantitative Data Analysis Soc"
14577: SOCI,"Race and Ethnicity in Society"
14578: SOCI,"Racial & Ethnic Comm in U.S."
14579: SOCI,"Racial&Ethnc Comm-Us"
14580: SOCI,"Reasoning with Data"
14581: SOCI,"Religion and Society"
14582: SOCI,"Religion in American History"
14583: SOCI,"Religious Groups"
14584: SOCI,"Selected Topics Race&Ethncity"
14585: SOCI,"Selected Topics Soc Research"
14586: SOCI,"Selected Topics in Race&Ethnic"
14587: SOCI,"Selected Topics in Social Rese"
14588: SOCI,"Selected Topics in Sociology"
14589: SOCI,"Semi & Intern Pgrm NYC Govt"
14590: SOCI,"Semin-Selected Probs"
14591: SOCI,"Soc Change&Planning"
14592: SOCI,"Soc Mov14593: SOCI,"Soc Sci Persp On Hlth & Dis"
14594: SOCI,"Social Inequality"
14595: SOCI,"Social Problems"
14596: SOCI,"Social Statistics"
14597: SOCI,"Society14598: SOCI,"Socio Amer Policy Making"
14599: SOCI,"Socio Persp on Dynmcs of Gndr"
14600: SOCI,"Socio of Stress & Health"
14601: SOCI,"Sociological Analysis"
14602: SOCI,"Sociological Perspectives Comm"
14603: SOCI,"Sociological Perspectives Gend"
14604: SOCI,"Sociological Theories of Aging"
14605: SOCI,"Sociological Theory"
14606: SOCI,"Sociology Of Family"
14607: SOCI,"Sociology of Art"
14608: SOCI,"Sociology of Culture"
14609: SOCI,"Sociology of Disability"
14610: SOCI,"Sociology of Eco Development"
14611: SOCI,"Sociology of Food & Nutrition"
14612: SOCI,"Sociology of Health Care"
14613: SOCI,"Sociology of Leisure"
14614: SOCI,"Sociology of the Family"
14615: SOCI,"Sociology: Gender/Reproduction"
14616: SOCI,"Special Studies in Sociology"
14617: SOCI,"Survey Rsch Latino Families US"
14618: SOCI,"The Aged in Modern Society"
14619: SOCI,"The Sociological Imagination"
14620: SOCI,"The Study Of Society"
14621: SOCI,"Topics in Sociology"
14622: SOCI,"Tpcs-Social Policy"
14623: SOCI,"Tutorial in Sociology"
14624: SOCI,"Urban Sociology"
14625: SOCI,"Urban Sociology Global Perspec"
14626: SOCI,"Women and Religion"
14627: SOCI,"Youth in Modern Society"
14628: SOWO,"Admin in Urban Agencies"
14629: SOWO,"Adv SWK Practice-Urban Env I"
14630: SOWO,"Adv SWK Practice-Urban Env II"
14631: SOWO,"Crim Just Sys Impct on Urb Fam"
14632: SOWO,"Extended Fieldwork & Seminar I"
14633: SOWO,"Extended Fieldwork & Seminar V"
14634: SOWO,"Extnded Fieldwork & Seminar II"
14635: SOWO,"Extnded Fieldwork & Seminar IV"
14636: SOWO,"Extnded Fieldwork & Seminar VI"
14637: SOWO,"Extnded Fieldwork & Seminr III"
14638: SOWO,"Fieldwork I"
14639: SOWO,"Fieldwork II"
14640: SOWO,"Fieldwork Seminar I"
14641: SOWO,"Fieldwork Seminar II"
14642: SOWO,"Fieldwork and Seminar I"
14643: SOWO,"Fieldwork and Seminar II"
14644: SOWO,"Fieldwork and Seminar III"
14645: SOWO,"Fieldwork and Seminar IV"
14646: SOWO,"Gender Issues"
14647: SOWO,"Generalist Soc Work Practice I"
14648: SOWO,"Generalst Swk Prac 2"
14649: SOWO,"Honors Seminar in Social Work"
14650: SOWO,"Honors Tutorial in Social Work"
14651: SOWO,"Hum.Diver&Soc.Envion"
14652: SOWO,"Human Behav&Socenvir"
14653: SOWO,"Human Behavior/Social Env I"
14654: SOWO,"Human Behavr & Social Envir II"
14655: SOWO,"Intro to Soc Work & Welfare"
14656: SOWO,"Issues in Urban Child Welfare"
14657: SOWO,"Mass Violence"
14658: SOWO,"Soc Welfareinst/Prog"
14659: SOWO,"Soc Wk Pract w/Child&Adolescen"
14660: SOWO,"Soc Wk W/Milit Serv Personnel"
14661: SOWO,"Social Welfare Institutions"
14662: SOWO,"Social Welfare Policy"
14663: SOWO,"Social Welfare Policy Analysis"
14664: SOWO,"Social Welfare Policy Practice"
14665: SOWO,"Social Wk Pract w/Sub Abuse Cl"
14666: SOWO,"Social Work Prac w/Older Adult"
14667: SOWO,"Social Work Practice I"
14668: SOWO,"Social Work Practice II"
14669: SOWO,"Social Work Practice with LGBT"
14670: SOWO,"Social Work Research"
14671: SOWO,"Social Work Research I"
14672: SOWO,"Social Work Research II"
14673: SOWO,"Social Work in Urban Schools"
14674: SOWO,"Social Work with Immigrants"
14675: SOWO,"Social Work with LGBT"
14676: SOWO,"Social Work&Substance Abuse"
14677: SOWO,"Social Wrk Pol in an Aging Soc"
14678: SOWO,"Special Studies in Social Work"
14679: SOWO,"Special Topics in Social Work"
14680: SOWO,"Substance Abuse& Urban Society"
14681: SOWO,"Supervision"
14682: SOWO,"Swk Practice With Older Adults"
14683: SOWO,"Theor Persp of Substance Abuse"
14684: SOWO,"Tutorial in Social Work"
14685: SOWO,"Underst Clinical Assess & Diag"
14686: SOWO,"Understanding Hisp/Lat Comm"
14687: SPAN,"19 C Spanish-American Lit"
14688: SPAN,"20 C Latin American Poetry"
14689: SPAN,"20c Span Literature"
14690: SPAN,"20c Span-Amer Fictn"
14691: SPAN,"20cent Spa-Am Naratv"
14692: SPAN,"20th&21stCentContLatAmerPoetry"
14693: SPAN,"20thC Spanish-American Poetry"
14694: SPAN,"Advanced Conversation"
